CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,RPT_DT,Latitude,Longitude,Lat_Lon,index_right,BoroCode,BoroName,NTA_Code_x,NTAName,NTAAbbrev,NTAType,CDTA2020,CDTAName,Shape_Leng,Shape_Area,Neighborhood,Population_x,Borough,Year,FIPS County Code,NTA_Code_y,Population_y
283041366,M,CRIMINAL MISCHIEF & RELATED OF,3/1/2024,40.635783,-74.134242,"(40.635783, -74.134242)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
283041366,M,CRIMINAL MISCHIEF & RELATED OF,3/1/2024,40.635783,-74.134242,"(40.635783, -74.134242)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
294845756,F,GRAND LARCENY,10/14/2024,40.733744,-74.001997,"(40.733744, -74.001997)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2000,61,MN23,68483
294845756,F,GRAND LARCENY,10/14/2024,40.733744,-74.001997,"(40.733744, -74.001997)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2010,61,MN23,66880
297562964,M,PETIT LARCENY,12/5/2024,40.570191,-74.110036,"(40.570191, -74.110036)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
297562964,M,PETIT LARCENY,12/5/2024,40.570191,-74.110036,"(40.570191, -74.110036)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
288131140,M,SEX CRIMES,6/7/2024,40.60221617,-74.0029508,"(40.6022161657077, -74.0029507988395)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2000,47,BK27,28572
288131140,M,SEX CRIMES,6/7/2024,40.60221617,-74.0029508,"(40.6022161657077, -74.0029507988395)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2010,47,BK27,29931
288351469,F,GRAND LARCENY,6/11/2024,40.732632,-74.001158,"(40.732632, -74.001158)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2000,61,MN23,68483
288351469,F,GRAND LARCENY,6/11/2024,40.732632,-74.001158,"(40.732632, -74.001158)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2010,61,MN23,66880
292549992,M,VEHICLE AND TRAFFIC LAWS,8/30/2024,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
292549992,M,VEHICLE AND TRAFFIC LAWS,8/30/2024,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
293464991,M,PETIT LARCENY,9/17/2024,40.631213,-74.003253,"(40.631213, -74.003253)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2000,47,BK88,101055
293464991,M,PETIT LARCENY,9/17/2024,40.631213,-74.003253,"(40.631213, -74.003253)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2010,47,BK88,106357
